TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
577146.0,505.189612,1.0,-3.88,3.32,-8.19,7.25,-40.0,23.0,-3.56,-2.75,2.0,-0.3047006417566336,-0.02496055685795806,0.15991819645562977,-147.19432874745993,11.939110700430108,24.420541139763646,-0.1555,-0.9593,0.104,0.2115,0
577146.0,505.189612,1.0,-3.88,3.32,-8.19,7.25,-40.0,23.0,-3.56,-2.75,2.0,-0.3047006417566336,-0.02496055685795806,0.15991819645562977,-147.19432874745993,11.939110700430108,24.420541139763646,-0.1555,-0.9593,0.104,0.2115,0
577183.0,505.239682,1.0,-3.79,3.03,-8.19,5.75,-42.19,22.56,1.94,-0.37,-0.19,-0.18103074734568345,-0.2757146271597999,0.29285426365556155,-147.15377378773437,11.92758912667584,24.44399042905254,-0.1558,-0.9592,0.1039,0.2117,0
577183.0,505.239682,1.0,-3.79,3.03,-8.19,5.75,-42.19,22.56,1.94,-0.37,-0.19,-0.18103074734568345,-0.2757146271597999,0.29285426365556155,-147.15377378773437,11.92758912667584,24.44399042905254,-0.1558,-0.9592,0.1039,0.2117,0
577218.0,505.242549,1.0,-3.76,3.12,-8.29,6.19,-40.25,23.37,-2.38,1.81,1.44,-0.10758872647922482,-0.20761093813278708,0.18680476401505963,-147.0728095954594,11.950632395319573,24.537797991913113,-0.1557,-0.959,0.1041,0.2125,0
577218.0,505.242549,1.0,-3.76,3.12,-8.29,6.19,-40.25,23.37,-2.38,1.81,1.44,-0.10758872647922482,-0.20761093813278708,0.18680476401505963,-147.0728095954594,11.950632395319573,24.537797991913113,-0.1557,-0.959,0.1041,0.2125,0
577251.0,505.276593,1.0,-3.64,3.16,-8.6,6.19,-40.25,23.37,-4.5,2.69,-0.19,0.11554910793820442,-0.2363336132956657,-0.04860214425695375,-147.113267463602,11.904546342091734,24.432265654546878,-0.1567,-0.9591,0.1037,0.2116,0
577251.0,505.276593,1.0,-3.64,3.16,-8.6,6.19,-40.25,23.37,-4.5,2.69,-0.19,0.11554910793820442,-0.2363336132956657,-0.04860214425695375,-147.113267463602,11.904546342091734,24.432265654546878,-0.1567,-0.9591,0.1037,0.2116,0
577286.0,505.28301,1.0,-3.65,3.12,-8.53,6.56,-41.75,23.37,1.5,-1.12,1.44,0.08309541945276824,-0.2602649526516849,0.02180675620262207,-147.113267463602,11.916067673936476,24.44399042905254,-0.1568,-0.9591,0.1038,0.2117,0
577286.0,505.28301,1.0,-3.65,3.12,-8.53,6.56,-41.75,23.37,1.5,-1.12,1.44,0.08309541945276824,-0.2602649526516849,0.02180675620262207,-147.113267463602,11.916067673936476,24.44399042905254,-0.1568,-0.9591,0.1038,0.2117,0
577323.0,505.300126,1.0,-3.61,3.22,-8.46,5.75,-41.5,23.0,-0.94,1.06,-2.38,0.08017826921364152,-0.14532886913569776,0.06270054585453799,-147.0728095954594,11.89302513102135,24.467440757791284,-0.1572,-0.959,0.1036,0.2119,0
577323.0,505.300126,1.0,-3.61,3.22,-8.46,5.75,-41.5,23.0,-0.94,1.06,-2.38,0.08017826921364152,-0.14532886913569776,0.06270054585453799,-147.0728095954594,11.89302513102135,24.467440757791284,-0.1572,-0.959,0.1036,0.2119,0
577357.0,505.30307,1.0,-3.85,2.98,-8.24,5.75,-41.5,23.0,0.63,-3.25,0.69,-0.19152523297714824,-0.3654250472386038,0.24473164540275505,-147.0728095954594,11.89302513102135,24.51434453810049,-0.1567,-0.959,0.1036,0.2123,0
