TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
347856.0,310.046014,1.0,2.11,6.93,-6.67,9.25,-44.75,22.56,9.44,5.88,-2.0,-0.02142597886346298,0.08167534646288166,-0.04011444651794882,-113.75411958451244,-43.59162801664085,-30.817102104618424,-0.3003,-0.8375,-0.3713,-0.2657,0
347856.0,310.046014,1.0,2.11,6.93,-6.67,9.25,-44.75,22.56,9.44,5.88,-2.0,-0.02142597886346298,0.08167534646288166,-0.04011444651794882,-113.75411958451244,-43.59162801664085,-30.817102104618424,-0.3003,-0.8375,-0.3713,-0.2657,0
347893.0,310.065143,1.0,1.91,6.67,-6.61,9.25,-44.75,21.0,2.25,7.81,0.0,-0.21022020880750625,0.16085967965767622,0.22755653416152732,-113.71219000408915,-43.789158700247214,-30.971654123503782,-0.2975,-0.8373,-0.3729,-0.267,0
347893.0,310.065143,1.0,1.91,6.67,-6.61,9.25,-44.75,21.0,2.25,7.81,0.0,-0.21022020880750625,0.16085967965767622,0.22755653416152732,-113.71219000408915,-43.789158700247214,-30.971654123503782,-0.2975,-0.8373,-0.3729,-0.267,0
347926.0,310.11878,1.0,2.1,6.93,-6.85,9.25,-44.75,21.0,4.81,13.44,-0.5,-0.1542293796149432,0.11869663809370712,-0.1592681416750974,-113.62840124543838,-43.93739653048951,-31.209539394286914,-0.2957,-0.8369,-0.3741,-0.269,0
347926.0,310.11878,1.0,2.1,6.93,-6.85,9.25,-44.75,21.0,4.81,13.44,-0.5,-0.1542293796149432,0.11869663809370712,-0.1592681416750974,-113.62840124543838,-43.93739653048951,-31.209539394286914,-0.2957,-0.8369,-0.3741,-0.269,0
347961.0,310.183871,1.0,2.16,6.8,-6.98,8.19,-44.06,23.37,3.0,11.5,-0.94,-0.2858338077230005,0.00808417996008659,-0.17053565931279913,-113.44021811063547,-44.15989850900582,-31.507090202315183,-0.2933,-0.836,-0.3759,-0.2715,0
347961.0,310.183871,1.0,2.16,6.8,-6.98,8.19,-44.06,23.37,3.0,11.5,-0.94,-0.2858338077230005,0.00808417996008659,-0.17053565931279913,-113.44021811063547,-44.15989850900582,-31.507090202315183,-0.2933,-0.836,-0.3759,-0.2715,0
347996.0,310.20318,1.0,2.32,7.04,-6.66,8.88,-44.06,23.37,1.5,8.81,1.88,0.11937964236415466,0.14151822170960138,-0.15654833657411338,-113.39846355737876,-44.23410474921271,-31.721461697138416,-0.2916,-0.8358,-0.3765,-0.2733,0
347996.0,310.20318,1.0,2.32,7.04,-6.66,8.88,-44.06,23.37,1.5,8.81,1.88,0.11937964236415466,0.14151822170960138,-0.15654833657411338,-113.39846355737876,-44.23410474921271,-31.721461697138416,-0.2916,-0.8358,-0.3765,-0.2733,0
