,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,318539.0,20.585825,1.0,-2.22,-0.38,-9.43,3.06,-11.0,40.75,-0.25,4.56,-0.12,-0.056338420659998174,0.019371430182358512,0.11159194292524076,-149.288410054367,27.57245336826063,12.00824269100582,0.0485,-0.9643,0.2383,0.1046
1,318539.0,20.585825,1.0,-2.22,-0.38,-9.43,3.06,-11.0,40.75,-0.25,4.56,-0.12,-0.056338420659998174,0.019371430182358512,0.11159194292524076,-149.288410054367,27.57245336826063,12.00824269100582,0.0485,-0.9643,0.2383,0.1046
2,318572.0,20.609547,1.0,-2.01,-0.4,-9.7,3.06,-11.0,40.75,2.75,1.37,-0.19,0.16127192700506018,0.13925635434646724,-0.10519639879645126,-149.33171261025748,27.59605210118816,11.89302513102135,0.049,-0.9644,0.2385,0.1036
3,318572.0,20.609547,1.0,-2.01,-0.4,-9.7,3.06,-11.0,40.75,2.75,1.37,-0.19,0.16127192700506018,0.13925635434646724,-0.10519639879645126,-149.33171261025748,27.59605210118816,11.89302513102135,0.049,-0.9644,0.2385,0.1036
4,318609.0,20.646342999999998,1.0,-2.14,-0.56,-9.58,2.38,-10.25,41.19,2.0,1.19,-0.56,0.09440860860162988,-0.06753718805041209,-0.02473473170753948,-149.33171261025748,27.59605210118816,11.858462221253813,0.0496,-0.9644,0.2385,0.1033
5,318609.0,20.646342999999998,1.0,-2.14,-0.56,-9.58,2.38,-10.25,41.19,2.0,1.19,-0.56,0.09440860860162988,-0.06753718805041209,-0.02473473170753948,-149.33171261025748,27.59605210118816,11.858462221253813,0.0496,-0.9644,0.2385,0.1033
6,318644.0,20.715779,1.0,-2.34,-0.51,-9.09,3.88,-10.25,41.06,0.44,3.69,-0.06,-0.2077867686953648,-0.19127754777697886,0.4106914241828665,-149.37507492345586,27.59605210118816,11.731740790019305,0.0495,-0.9645,0.2385,0.1022
7,318644.0,20.715779,1.0,-2.34,-0.51,-9.09,3.88,-10.25,41.06,0.44,3.69,-0.06,-0.2077867686953648,-0.19127754777697886,0.4106914241828665,-149.37507492345586,27.59605210118816,11.731740790019305,0.0495,-0.9645,0.2385,0.1022
8,318679.0,20.732507000000002,1.0,-2.35,-0.49,-8.91,3.88,-10.25,41.06,-0.25,14.06,-0.5,-0.305878388573726,-0.23007595074472914,0.58687758045013,-149.50552295905456,27.619652027697363,11.397725602729444,0.0488,-0.9648,0.2387,0.0993
9,318679.0,20.732507000000002,1.0,-2.35,-0.49,-8.91,3.88,-10.25,41.06,-0.25,14.06,-0.5,-0.305878388573726,-0.23007595074472914,0.58687758045013,-149.50552295905456,27.619652027697363,11.397725602729444,0.0488,-0.9648,0.2387,0.0993
10,318711.0,20.784785,1.0,-2.99,-1.06,-8.41,2.69,-11.0,40.69,-10.63,39.19,-0.44,-0.8563772042884374,-1.2466126004015754,0.9463805284491952,-150.12163073433226,27.60785191517117,10.039600263356236,0.0427,-0.9662,0.2386,0.0875
11,318711.0,20.784785,1.0,-2.99,-1.06,-8.41,2.69,-11.0,40.69,-10.63,39.19,-0.44,-0.8563772042884374,-1.2466126004015754,0.9463805284491952,-150.12163073433226,27.60785191517117,10.039600263356236,0.0427,-0.9662,0.2386,0.0875
12,318748.0,20.821839,1.0,0.13,0.35,-10.15,2.0,-9.88,40.75,-48.63,262.44,-35.63,0.7201665893522675,1.0133997129030976,-0.2738401222841649,-152.28767595523584,27.077153605664893,5.0551272004985615,0.022000000000000002,-0.9709,0.2341,0.0441
13,318748.0,20.821839,1.0,0.13,0.35,-10.15,2.0,-9.88,40.75,-48.63,262.44,-35.63,0.7201665893522675,1.0133997129030976,-0.2738401222841649,-152.28767595523584,27.077153605664893,5.0551272004985615,0.022000000000000002,-0.9709,0.2341,0.0441
14,318785.0,20.837482,1.0,0.83,0.33,-10.29,2.0,-9.88,40.75,-16.56,170.19,-30.62,0.2499309455571776,0.6105435357432689,-0.5009525880616366,-153.56043390061225,26.370473139201327,-1.94815034703792,0.0013,-0.9735,0.2281,-0.017
15,318785.0,20.837482,1.0,0.83,0.33,-10.29,2.0,-9.88,40.75,-16.56,170.19,-30.62,0.2499309455571776,0.6105435357432689,-0.5009525880616366,-153.56043390061225,26.370473139201327,-1.94815034703792,0.0013,-0.9735,0.2281,-0.017
