,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,5345144.0,169.191211,1.0,5.08,-0.44,10.41,0.75,-19.19,-39.25,4.5,-4.88,26.0,0.02732093381172407,-1.324502033840311,-1.7091238745135389,-21.042478443283557,5.491036825631306,-131.23228149999522,-0.3673,-0.1826,0.0479,-0.9108
1,5345144.0,169.191211,1.0,5.08,-0.44,10.41,0.75,-19.19,-39.25,4.5,-4.88,26.0,0.02732093381172407,-1.324502033840311,-1.7091238745135389,-21.042478443283557,5.491036825631306,-131.23228149999522,-0.3673,-0.1826,0.0479,-0.9108
2,5345181.0,169.25118999999998,1.0,5.77,-0.04,10.17,1.56,-18.37,-40.06,3.38,-9.31,42.88,-0.8060824535078335,-1.3958733251294944,-1.7745921068872723,-21.368908312577144,5.754915093896803,-132.41145409892673,-0.3547,-0.1854,0.0502,-0.915
3,5345181.0,169.25118999999998,1.0,5.77,-0.04,10.17,1.56,-18.37,-40.06,3.38,-9.31,42.88,-0.8060824535078335,-1.3958733251294944,-1.7745921068872723,-21.368908312577144,5.754915093896803,-132.41145409892673,-0.3547,-0.1854,0.0502,-0.915
4,5345216.0,169.324399,1.0,4.6,-1.34,10.88,0.06,-18.0,-40.06,22.06,-46.56,28.75,1.2149825114986357,-1.3290635664814845,-1.944409847222465,-22.431032941974188,5.9958740675037845,-132.72485553305756,-0.3467,-0.1945,0.0523,-0.9161
5,5345216.0,169.324399,1.0,4.6,-1.34,10.88,0.06,-18.0,-40.06,22.06,-46.56,28.75,1.2149825114986357,-1.3290635664814845,-1.944409847222465,-22.431032941974188,5.9958740675037845,-132.72485553305756,-0.3467,-0.1945,0.0523,-0.9161
6,5345251.0,169.33304099999998,1.0,4.81,-2.29,10.83,0.06,-18.0,-40.06,16.94,-24.62,64.69,1.7738013244098116,-2.060059876390844,-1.9525541468462693,-23.71754026504909,6.11062569758793,-134.14543141113884,-0.3268,-0.2055,0.0533,-0.9209999999999999
7,5345251.0,169.33304099999998,1.0,4.81,-2.29,10.83,0.06,-18.0,-40.06,16.94,-24.62,64.69,1.7738013244098116,-2.060059876390844,-1.9525541468462693,-23.71754026504909,6.11062569758793,-134.14543141113884,-0.3268,-0.2055,0.0533,-0.9209999999999999
8,5345288.0,169.354099,1.0,6.02,-0.25,10.33,-1.37,-18.37,-40.06,-20.31,-33.81,107.5,-0.5985236278447902,-0.9114484165991446,-2.1022891320465824,-24.279867169785643,7.166643396943946,-136.09680960991037,-0.3027,-0.2103,0.0625,-0.9275
9,5345288.0,169.354099,1.0,6.02,-0.25,10.33,-1.37,-18.37,-40.06,-20.31,-33.81,107.5,-0.5985236278447902,-0.9114484165991446,-2.1022891320465824,-24.279867169785643,7.166643396943946,-136.09680960991037,-0.3027,-0.2103,0.0625,-0.9275
10,5345325.0,169.408151,1.0,6.57,-0.1,9.87,-4.06,-18.87,-38.75,-2.25,-44.25,99.0,-1.2874862785502392,-0.5875752482061626,-1.9657301505999776,-25.34758912480893,8.855279263547427,-138.1664535645985,-0.2706,-0.2194,0.0772,-0.9341
11,5345325.0,169.408151,1.0,6.57,-0.1,9.87,-4.06,-18.87,-38.75,-2.25,-44.25,99.0,-1.2874862785502392,-0.5875752482061626,-1.9657301505999776,-25.34758912480893,8.855279263547427,-138.1664535645985,-0.2706,-0.2194,0.0772,-0.9341
12,5345359.0,169.42926699999998,1.0,6.27,-0.43,10.46,-4.06,-18.87,-38.75,-15.13,-74.81,109.0,-0.5400888329592741,-0.05253477485283775,-2.3841229102770125,-26.817917077101303,10.22366575133618,-139.2059212883253,-0.2444,-0.2319,0.0891,-0.9373
13,5345359.0,169.42926699999998,1.0,6.27,-0.43,10.46,-4.06,-18.87,-38.75,-15.13,-74.81,109.0,-0.5400888329592741,-0.05253477485283775,-2.3841229102770125,-26.817917077101303,10.22366575133618,-139.2059212883253,-0.2444,-0.2319,0.0891,-0.9373
14,5345394.0,169.483051,1.0,6.74,0.34,10.92,-6.75,-16.56,-38.75,-20.19,-77.19,101.69,-0.7823208796467848,1.4729491255334644,-2.9215861274003263,-29.23915478171118,12.872771138472865,-139.30467314730421,-0.2112,-0.2524,0.1121,-0.9376
15,5345394.0,169.483051,1.0,6.74,0.34,10.92,-6.75,-16.56,-38.75,-20.19,-77.19,101.69,-0.7823208796467848,1.4729491255334644,-2.9215861274003263,-29.23915478171118,12.872771138472865,-139.30467314730421,-0.2112,-0.2524,0.1121,-0.9376
16,5345429.0,169.50419399999998,1.0,5.74,0.95,11.81,-10.5,-14.38,-39.25,-52.19,-69.37,84.06,0.394000026540096,3.5148709979843025,-2.874700316374641,-31.078685498016352,15.887402736014533,-138.61814821881748,-0.1843,-0.2679,0.1382,-0.9355
17,5345429.0,169.50419399999998,1.0,5.74,0.95,11.81,-10.5,-14.38,-39.25,-52.19,-69.37,84.06,0.394000026540096,3.5148709979843025,-2.874700316374641,-31.078685498016352,15.887402736014533,-138.61814821881748,-0.1843,-0.2679,0.1382,-0.9355
18,5345468.0,169.550291,1.0,6.42,2.65,11.43,-14.38,-12.06,-38.75,-19.69,-34.0,33.38,-0.8973596413940771,5.1836694058896935,-2.4900209789454912,-31.959785992705626,17.717608294742977,-137.6241524258607,-0.1765,-0.2753,0.154,-0.9324
19,5345468.0,169.550291,1.0,6.42,2.65,11.43,-14.38,-12.06,-38.75,-19.69,-34.0,33.38,-0.8973596413940771,5.1836694058896935,-2.4900209789454912,-31.959785992705626,17.717608294742977,-137.6241524258607,-0.1765,-0.2753,0.154,-0.9324
20,5345501.0,169.573289,1.0,6.32,3.1,10.87,-14.38,-12.06,-38.75,46.19,-4.44,17.25,-1.0466317090602053,5.3107752372021135,-1.9581078999956676,-32.44879621422149,16.709303811577858,-138.29503211078548,-0.166,-0.2794,0.1453,-0.9345
21,5345501.0,169.573289,1.0,6.32,3.1,10.87,-14.38,-12.06,-38.75,46.19,-4.44,17.25,-1.0466317090602053,5.3107752372021135,-1.9581078999956676,-32.44879621422149,16.709303811577858,-138.29503211078548,-0.166,-0.2794,0.1453,-0.9345
22,5345538.0,169.622131,1.0,6.68,1.78,8.74,-16.69,-8.38,-38.0,87.37,2.88,-22.31,-1.6945231830000895,2.8552153209249287,-0.8307715227859997,-32.592035674709635,14.153639819523336,-139.2717303873644,-0.1647,-0.2806,0.1232,-0.9375
23,5345538.0,169.622131,1.0,6.68,1.78,8.74,-16.69,-8.38,-38.0,87.37,2.88,-22.31,-1.6945231830000895,2.8552153209249287,-0.8307715227859997,-32.592035674709635,14.153639819523336,-139.2717303873644,-0.1647,-0.2806,0.1232,-0.9375
24,5345574.0,169.64213,1.0,5.7,2.02,8.17,-15.25,-9.5,-37.25,107.62,-49.44,-30.5,-0.7855382339655226,2.6431878887615627,0.023205439535493252,-34.73506381234489,10.476799088278916,-138.7806141249359,-0.1628,-0.2985,0.0913,-0.9359999999999999
25,5345574.0,169.64213,1.0,5.7,2.02,8.17,-15.25,-9.5,-37.25,107.62,-49.44,-30.5,-0.7855382339655226,2.6431878887615627,0.023205439535493252,-34.73506381234489,10.476799088278916,-138.7806141249359,-0.1628,-0.2985,0.0913,-0.9359999999999999
26,5345609.0,169.685121,1.0,5.77,0.63,5.99,-15.25,-9.5,-37.25,152.75,-43.75,-43.06,-1.1088961742964112,0.3114408443437421,1.5457024832132458,-36.830309031624424,6.523783187455053,-137.91042216197232,-0.1611,-0.3159,0.0569,-0.9333
27,5345609.0,169.685121,1.0,5.77,0.63,5.99,-15.25,-9.5,-37.25,152.75,-43.75,-43.06,-1.1088961742964112,0.3114408443437421,1.5457024832132458,-36.830309031624424,6.523783187455053,-137.91042216197232,-0.1611,-0.3159,0.0569,-0.9333
28,5345644.0,169.759494,1.0,4.97,1.53,8.64,-17.69,-12.88,-35.25,185.69,-65.75,-68.94,1.521607540220314,0.9496458547808104,-0.11677094461593995,-40.32696746513329,0.05729578190040675,-135.397065246721,-0.1584,-0.3447,0.0005,-0.9252
29,5345644.0,169.759494,1.0,4.97,1.53,8.64,-17.69,-12.88,-35.25,185.69,-65.75,-68.94,1.521607540220314,0.9496458547808104,-0.11677094461593995,-40.32696746513329,0.05729578190040675,-135.397065246721,-0.1584,-0.3447,0.0005,-0.9252
30,5345679.0,169.76836200000002,1.0,6.29,2.27,8.21,-18.06,-18.19,-32.38,243.13,-20.19,-126.25,0.8744071669040038,-0.4000133464627635,-0.7383251744192645,-42.82747400563139,-9.384074619875276,-131.6503100355004,-0.1665,-0.3651,-0.0818,-0.9123
31,5345679.0,169.76836200000002,1.0,6.29,2.27,8.21,-18.06,-18.19,-32.38,243.13,-20.19,-126.25,0.8744071669040038,-0.4000133464627635,-0.7383251744192645,-42.82747400563139,-9.384074619875276,-131.6503100355004,-0.1665,-0.3651,-0.0818,-0.9123
32,5345718.0,169.78966499999999,1.0,7.02,2.55,4.83,-19.25,-24.56,-28.06,302.88,-20.69,-75.87,-1.5777475214333134,-1.3445121910172522,1.15709511394852,-44.320703388770774,-17.984399539927896,-127.89708982203928,-0.1619,-0.3772,-0.1563,-0.8984
33,5345718.0,169.78966499999999,1.0,7.02,2.55,4.83,-19.25,-24.56,-28.06,302.88,-20.69,-75.87,-1.5777475214333134,-1.3445121910172522,1.15709511394852,-44.320703388770774,-17.984399539927896,-127.89708982203928,-0.1619,-0.3772,-0.1563,-0.8984
34,5345751.0,169.837771,1.0,8.11,2.76,2.24,-19.25,-24.56,-28.06,335.44,-70.25,-35.81,-3.4125700213681114,-2.0561094062307665,1.8988007374717213,-48.371981330891565,-29.760539648089328,-119.71975142044464,-0.1353,-0.4097,-0.2568,-0.8648
35,5345751.0,169.837771,1.0,8.11,2.76,2.24,-19.25,-24.56,-28.06,335.44,-70.25,-35.81,-3.4125700213681114,-2.0561094062307665,1.8988007374717213,-48.371981330891565,-29.760539648089328,-119.71975142044464,-0.1353,-0.4097,-0.2568,-0.8648
36,5345787.0,169.86725800000002,1.0,9.0,1.51,0.23,-17.0,-33.0,-20.19,336.25,-220.81,-0.31,-4.6947175520228255,-3.3312841201792964,2.72179479912468,-54.026945257147645,-38.367646412161214,-110.1896107771162,-0.1144,-0.4542,-0.3286,-0.8201
37,5345787.0,169.86725800000002,1.0,9.0,1.51,0.23,-17.0,-33.0,-20.19,336.25,-220.81,-0.31,-4.6947175520228255,-3.3312841201792964,2.72179479912468,-54.026945257147645,-38.367646412161214,-110.1896107771162,-0.1144,-0.4542,-0.3286,-0.8201
38,5345824.0,169.912674,1.0,7.84,3.81,1.98,-18.87,-37.75,-7.75,242.13,-397.81,92.56,0.1314461352318037,-2.644175330379287,1.2689009561508993,-68.51318055335086,-44.43208368482341,-93.58851254585272,-0.0944,-0.5629,-0.3781,-0.7289
39,5345824.0,169.912674,1.0,7.84,3.81,1.98,-18.87,-37.75,-7.75,242.13,-397.81,92.56,0.1314461352318037,-2.644175330379287,1.2689009561508993,-68.51318055335086,-44.43208368482341,-93.58851254585272,-0.0944,-0.5629,-0.3781,-0.7289
40,5345861.0,169.991008,1.0,5.11,6.08,2.23,-18.87,-37.75,-7.75,209.94,-425.81,73.94,3.7234890245937113,0.058651380049851376,2.445699687754412,-81.0982837378557,-46.182918527144956,-80.31635645484546,-0.0877,-0.6501,-0.3922,-0.6449
41,5345861.0,169.991008,1.0,5.11,6.08,2.23,-18.87,-37.75,-7.75,209.94,-425.81,73.94,3.7234890245937113,0.058651380049851376,2.445699687754412,-81.0982837378557,-46.182918527144956,-80.31635645484546,-0.0877,-0.6501,-0.3922,-0.6449
42,5345896.0,170.05848400000002,1.0,4.1,4.9,0.24,-21.06,-39.69,5.69,190.81,-317.44,-3.31,3.0657192710358667,0.1938158232972671,4.199386783613692,-93.8566544152289,-49.1016156188802,-64.70138684078718,-0.0858,-0.7305,-0.4155,-0.5351
43,5345896.0,170.05848400000002,1.0,4.1,4.9,0.24,-21.06,-39.69,5.69,190.81,-317.44,-3.31,3.0657192710358667,0.1938158232972671,4.199386783613692,-93.8566544152289,-49.1016156188802,-64.70138684078718,-0.0858,-0.7305,-0.4155,-0.5351
44,5345931.0,170.065721,1.0,2.71,3.81,-0.35,-18.06,-36.88,17.87,194.19,-246.44,13.38,2.7045860699955027,0.38373236650267617,5.996051141436618,-102.42963728896295,-51.91444784867411,-52.488668512026216,-0.0723,-0.7795,-0.4377,-0.4422
45,5345931.0,170.065721,1.0,2.71,3.81,-0.35,-18.06,-36.88,17.87,194.19,-246.44,13.38,2.7045860699955027,0.38373236650267617,5.996051141436618,-102.42963728896295,-51.91444784867411,-52.488668512026216,-0.0723,-0.7795,-0.4377,-0.4422
