TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
2294675.0,2258.618353,1.0,8.9,2.12,4.11,-33.75,-18.56,-8.25,-2.31,4.31,-1.63,-0.02833784411957113,0.3260286621571403,-0.2177902476169571,-58.79950628412525,-24.38536915234885,-111.86945684906634,0.1679,-0.4909,-0.2112,-0.8284,0
2294675.0,2258.618353,1.0,8.9,2.12,4.11,-33.75,-18.56,-8.25,-2.31,4.31,-1.63,-0.02833784411957113,0.3260286621571403,-0.2177902476169571,-58.79950628412525,-24.38536915234885,-111.86945684906634,0.1679,-0.4909,-0.2112,-0.8284,0
2294708.0,2258.64993,1.0,9.82,3.08,2.69,-33.75,-18.56,-8.25,-9.94,10.0,-24.5,-1.1803600280879016,1.8782259576096694,-0.5969031169045103,-58.35279171002898,-24.479166312304468,-112.50626800349723,0.1615,-0.4875,-0.212,-0.8315,0
2294708.0,2258.64993,1.0,9.82,3.08,2.69,-33.75,-18.56,-8.25,-9.94,10.0,-24.5,-1.1803600280879016,1.8782259576096694,-0.5969031169045103,-58.35279171002898,-24.479166312304468,-112.50626800349723,0.1615,-0.4875,-0.212,-0.8315,0
2294745.0,2258.745645,1.0,9.67,1.5,2.82,-33.06,-19.0,-6.69,-17.5,-17.5,-59.5,-1.8634771078332355,0.2143542410882161,-0.20298562413282717,-58.23470667250937,-25.194922646375748,-112.73350926918677,0.1498,-0.4866,-0.2181,-0.8326,0
2294745.0,2258.745645,1.0,9.67,1.5,2.82,-33.06,-19.0,-6.69,-17.5,-17.5,-59.5,-1.8634771078332355,0.2143542410882161,-0.20298562413282717,-58.23470667250937,-25.194922646375748,-112.73350926918677,0.1498,-0.4866,-0.2181,-0.8326,0
2294781.0,2258.75187,1.0,10.53,3.29,2.97,-32.69,-20.06,-7.88,-109.5,-3.06,-91.56,-1.676503362126512,1.4001876036785132,-1.4073908038888234,-58.33966779766776,-24.0923596055089,-114.36476553066457,0.1124,-0.4874,-0.2087,-0.8404,0
2294781.0,2258.75187,1.0,10.53,3.29,2.97,-32.69,-20.06,-7.88,-109.5,-3.06,-91.56,-1.676503362126512,1.4001876036785132,-1.4073908038888234,-58.33966779766776,-24.0923596055089,-114.36476553066457,0.1124,-0.4874,-0.2087,-0.8404,0
2294816.0,2258.759338,1.0,11.8,6.02,1.64,-32.69,-20.06,-7.88,-100.06,-0.88,-88.06,-2.814051728566125,4.139859548474557,-2.5672206873741814,-58.077365284994315,-22.79329707445838,-115.96798233708935,0.0804,-0.4854,-0.1976,-0.8479,0
2294816.0,2258.759338,1.0,11.8,6.02,1.64,-32.69,-20.06,-7.88,-100.06,-0.88,-88.06,-2.814051728566125,4.139859548474557,-2.5672206873741814,-58.077365284994315,-22.79329707445838,-115.96798233708935,0.0804,-0.4854,-0.1976,-0.8479,0
2294851.0,2258.798979,1.0,12.98,7.8,1.63,-30.87,-21.5,-7.5,-132.06,-15.94,-122.94,-3.7759656330971145,5.097610208836428,-4.040145791678162,-57.73686934640835,-21.12406961438943,-117.6743080222204,0.0313,-0.4828,-0.1833,-0.8557,0
2294851.0,2258.798979,1.0,12.98,7.8,1.63,-30.87,-21.5,-7.5,-132.06,-15.94,-122.94,-3.7759656330971145,5.097610208836428,-4.040145791678162,-57.73686934640835,-21.12406961438943,-117.6743080222204,0.0313,-0.4828,-0.1833,-0.8557,0
2294886.0,2258.858056,1.0,13.98,11.31,2.73,-30.87,-23.37,-9.5,-150.5,-54.75,-124.06,-3.5926405516815056,7.28522313120039,-6.4668824313756925,-58.02494481779507,-19.20363223785156,-118.25247900079262,-0.0162,-0.485,-0.1668,-0.8583,0
2294886.0,2258.858056,1.0,13.98,11.31,2.73,-30.87,-23.37,-9.5,-150.5,-54.75,-124.06,-3.5926405516815056,7.28522313120039,-6.4668824313756925,-58.02494481779507,-19.20363223785156,-118.25247900079262,-0.0162,-0.485,-0.1668,-0.8583,0
2294923.0,2258.876744,1.0,16.27,16.24,6.15,-29.0,-25.25,-12.0,-164.56,-114.94,-141.44,-2.4050960942575945,9.830400894556751,-11.730567346483843,-60.42387417457696,-16.1419863535435,-116.11944522588419,-0.0831,-0.5032,-0.1404,-0.8486,0
2294923.0,2258.876744,1.0,16.27,16.24,6.15,-29.0,-25.25,-12.0,-164.56,-114.94,-141.44,-2.4050960942575945,9.830400894556751,-11.730567346483843,-60.42387417457696,-16.1419863535435,-116.11944522588419,-0.0831,-0.5032,-0.1404,-0.8486,0
2294958.0,2258.916859,1.0,15.49,18.45,10.7,-29.0,-25.25,-12.0,-48.56,-178.75,-180.19,2.384857955663098,9.79058873153175,-14.550883225294266,-65.20397390849296,-16.616652750638245,-109.33308208171762,-0.1525,-0.5388,-0.1445,-0.8158,0
