TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
3808493.0,477.290167,1.0,4.03,2.81,-8.6,-11.69,-25.19,31.5,1.0,0.75,-0.88,0.16200951286656487,0.009295395273572815,-0.09641349133274169,-148.2245582580313,-13.06883146764636,-25.230149327633615,-0.1198,-0.9618,-0.1138,-0.2184,0
3808493.0,477.290167,1.0,4.03,2.81,-8.6,-11.69,-25.19,31.5,1.0,0.75,-0.88,0.16200951286656487,0.009295395273572815,-0.09641349133274169,-148.2245582580313,-13.06883146764636,-25.230149327633615,-0.1198,-0.9618,-0.1138,-0.2184,0
3808528.0,477.294775,1.0,3.81,2.55,-8.64,-11.69,-25.19,31.5,6.38,-2.94,-0.31,-0.06876382945927112,-0.1627637252175056,0.02723388729105025,-148.35037934063973,-13.114968872872083,-25.112736460930662,-0.1185,-0.9621,-0.1142,-0.2174,0
3808528.0,477.294775,1.0,3.81,2.55,-8.64,-11.69,-25.19,31.5,6.38,-2.94,-0.31,-0.06876382945927112,-0.1627637252175056,0.02723388729105025,-148.35037934063973,-13.114968872872083,-25.112736460930662,-0.1185,-0.9621,-0.1142,-0.2174,0
3808565.0,477.329662,1.0,3.59,2.67,-8.74,-12.5,-25.19,30.19,3.75,-1.12,-3.56,-0.2709787622441727,0.004240239241940502,-0.008193479688497263,-148.4345315385202,-13.195714475135587,-25.042301608577382,-0.1177,-0.9623,-0.1149,-0.2168,0
3808565.0,477.329662,1.0,3.59,2.67,-8.74,-12.5,-25.19,30.19,3.75,-1.12,-3.56,-0.2709787622441727,0.004240239241940502,-0.008193479688497263,-148.4345315385202,-13.195714475135587,-25.042301608577382,-0.1177,-0.9623,-0.1149,-0.2168,0
3808602.0,477.386487,1.0,3.55,2.7,-8.43,-12.88,-24.06,31.5,6.38,1.56,-2.81,-0.15240650737962802,0.12155701066423297,0.2714837114832278,-148.4345315385202,-13.368762981498051,-25.018825462277388,-0.1161,-0.9623,-0.1164,-0.2166,0
3808602.0,477.386487,1.0,3.55,2.7,-8.43,-12.88,-24.06,31.5,6.38,1.56,-2.81,-0.15240650737962802,0.12155701066423297,0.2714837114832278,-148.4345315385202,-13.368762981498051,-25.018825462277388,-0.1161,-0.9623,-0.1164,-0.2166,0
3808636.0,477.407805,1.0,3.99,2.52,-8.56,-12.88,-24.06,31.5,10.88,6.25,3.13,0.12901334686774657,-0.14879744503328785,0.03396792818974781,-148.4345315385202,-13.437990937987555,-25.159698385030055,-0.1138,-0.9623,-0.117,-0.2178,0
3808636.0,477.407805,1.0,3.99,2.52,-8.56,-12.88,-24.06,31.5,10.88,6.25,3.13,0.12901334686774657,-0.14879744503328785,0.03396792818974781,-148.4345315385202,-13.437990937987555,-25.159698385030055,-0.1138,-0.9623,-0.117,-0.2178,0
3808669.0,477.412753,1.0,3.58,2.43,-8.57,-12.06,-24.06,31.5,10.94,7.81,1.12,-0.2805051137413062,-0.04369005652690405,0.21052536241188413,-148.39242814751884,-13.484145644815701,-25.40631916668005,-0.1097,-0.9622,-0.1174,-0.2199,0
3808669.0,477.412753,1.0,3.58,2.43,-8.57,-12.06,-24.06,31.5,10.94,7.81,1.12,-0.2805051137413062,-0.04369005652690405,0.21052536241188413,-148.39242814751884,-13.484145644815701,-25.40631916668005,-0.1097,-0.9622,-0.1174,-0.2199,0
3808706.0,477.464187,1.0,3.02,2.69,-7.71,-12.88,-24.37,31.5,13.75,32.69,-3.5,-0.41864508541570883,0.5599043715527292,1.1284103520544893,-147.93284627196644,-13.691869135619404,-26.04103972629063,-0.106,-0.9611,-0.1192,-0.2253,0
3808706.0,477.464187,1.0,3.02,2.69,-7.71,-12.88,-24.37,31.5,13.75,32.69,-3.5,-0.41864508541570883,0.5599043715527292,1.1284103520544893,-147.93284627196644,-13.691869135619404,-26.04103972629063,-0.106,-0.9611,-0.1192,-0.2253,0
3808743.0,477.486247,1.0,2.67,2.09,-6.7,-12.88,-22.87,31.5,22.19,93.81,-6.13,-0.7371205343860566,0.3902518660218556,2.343985810928321,-145.41510886588998,-14.303764676023915,-29.132584441928433,-0.0976,-0.9548,-0.1245,-0.2515,0
3808743.0,477.486247,1.0,2.67,2.09,-6.7,-12.88,-22.87,31.5,22.19,93.81,-6.13,-0.7371205343860566,0.3902518660218556,2.343985810928321,-145.41510886588998,-14.303764676023915,-29.132584441928433,-0.0976,-0.9548,-0.1245,-0.2515,0
3808778.0,477.529725,1.0,6.35,3.06,-8.8,-12.88,-22.87,31.5,5.56,233.88,-22.69,0.33262851870238863,0.13474251260098868,-1.4626579966714797,-139.73527758064992,-15.517239777173632,-35.27575900730598,-0.0919,-0.9389,-0.135,-0.303,0
3808778.0,477.529725,1.0,6.35,3.06,-8.8,-12.88,-22.87,31.5,5.56,233.88,-22.69,0.33262851870238863,0.13474251260098868,-1.4626579966714797,-139.73527758064992,-15.517239777173632,-35.27575900730598,-0.0919,-0.9389,-0.135,-0.303,0
3808815.0,477.593236,1.0,6.17,2.54,-6.93,-16.19,-23.25,30.69,24.06,163.5,-18.75,0.20610126083914523,0.11608803991487049,0.1895066696097718,-133.91067619883825,-16.651395613206024,-41.57463147554045,-0.079,-0.9202,-0.1448,-0.3549,0
3808815.0,477.593236,1.0,6.17,2.54,-6.93,-16.19,-23.25,30.69,24.06,163.5,-18.75,0.20610126083914523,0.11608803991487049,0.1895066696097718,-133.91067619883825,-16.651395613206024,-41.57463147554045,-0.079,-0.9202,-0.1448,-0.3549,0
3808849.0,477.655497,1.0,6.6,2.54,-6.75,-21.5,-23.69,28.19,22.31,171.38,-25.5,-0.17687379099995293,0.14278296333547758,0.03309237304355683,-129.0838339340417,-17.636430239406277,-46.556896262554226,-0.0714,-0.9029,-0.1533,-0.3952,0
3808849.0,477.655497,1.0,6.6,2.54,-6.75,-21.5,-23.69,28.19,22.31,171.38,-25.5,-0.17687379099995293,0.14278296333547758,0.03309237304355683,-129.0838339340417,-17.636430239406277,-46.556896262554226,-0.0714,-0.9029,-0.1533,-0.3952,0
3808884.0,477.659666,1.0,7.24,2.57,-5.71,-21.5,-23.69,28.19,19.5,128.5,-11.19,0.24040227178640744,0.1658433482626378,0.2389280803601448,-124.25742213626366,-18.762140123042595,-51.46879911376181,-0.0593,-0.884,-0.163,-0.4342,0
3808884.0,477.659666,1.0,7.24,2.57,-5.71,-21.5,-23.69,28.19,19.5,128.5,-11.19,0.24040227178640744,0.1658433482626378,0.2389280803601448,-124.25742213626366,-18.762140123042595,-51.46879911376181,-0.0593,-0.884,-0.163,-0.4342,0
3808919.0,477.678167,1.0,8.13,2.47,-6.29,-26.37,-23.69,25.25,33.81,92.87,-0.63,-0.36064993685262886,0.06370903394977323,-0.7587545252437664,-120.77798064644898,-19.11066283969618,-55.14879620852955,-0.0476,-0.8694,-0.166,-0.4629,0
3808919.0,477.678167,1.0,8.13,2.47,-6.29,-26.37,-23.69,25.25,33.81,92.87,-0.63,-0.36064993685262886,0.06370903394977323,-0.7587545252437664,-120.77798064644898,-19.11066283969618,-55.14879620852955,-0.0476,-0.8694,-0.166,-0.4629,0
3808956.0,477.725299,1.0,7.85,2.08,-5.56,-27.87,-22.56,21.25,36.0,47.56,-0.56,-0.20242085929727818,-0.08239582820055025,-0.03279798874492279,-119.56019073883043,-19.13390399645449,-56.510450431241885,-0.0388,-0.8641,-0.1662,-0.4734,0
3808956.0,477.725299,1.0,7.85,2.08,-5.56,-27.87,-22.56,21.25,36.0,47.56,-0.56,-0.20242085929727818,-0.08239582820055025,-0.03279798874492279,-119.56019073883043,-19.13390399645449,-56.510450431241885,-0.0388,-0.8641,-0.1662,-0.4734,0
3808991.0,477.729641,1.0,7.69,2.06,-5.16,-27.87,-22.56,21.25,25.87,40.81,9.31,-0.13098649626100214,0.11029184000465897,0.321083161490785,-118.38659680691794,-19.215254308568724,-57.815395696371034,-0.0282,-0.8589,-0.1669,-0.4834,0
3808991.0,477.729641,1.0,7.69,2.06,-5.16,-27.87,-22.56,21.25,25.87,40.81,9.31,-0.13098649626100214,0.11029184000465897,0.321083161490785,-118.38659680691794,-19.215254308568724,-57.815395696371034,-0.0282,-0.8589,-0.1669,-0.4834,0
3809026.0,477.789325,1.0,8.38,1.63,-5.29,-29.5,-22.5,22.19,11.31,-9.06,14.94,-0.025154182104347014,-0.3729158157623107,-0.22956946060751626,-118.34186164954453,-19.05256341690962,-57.95943792852192,-0.022,-0.8587,-0.1655,-0.4845,0
3809026.0,477.789325,1.0,8.38,1.63,-5.29,-29.5,-22.5,22.19,11.31,-9.06,14.94,-0.025154182104347014,-0.3729158157623107,-0.22956946060751626,-118.34186164954453,-19.05256341690962,-57.95943792852192,-0.022,-0.8587,-0.1655,-0.4845,0
3809060.0,477.854784,1.0,7.77,1.33,-5.55,-30.56,-21.69,21.37,-6.5,-28.0,10.88,-0.44926892170381516,-0.44309052526844916,0.1865601759698503,-119.53742748975634,-18.262895263137004,-57.031458307191315,-0.0244,-0.864,-0.1587,-0.4774,0
3809060.0,477.854784,1.0,7.77,1.33,-5.55,-30.56,-21.69,21.37,-6.5,-28.0,10.88,-0.44926892170381516,-0.44309052526844916,0.1865601759698503,-119.53742748975634,-18.262895263137004,-57.031458307191315,-0.0244,-0.864,-0.1587,-0.4774,0
3809097.0,477.87344,1.0,7.68,2.37,-5.34,-30.06,-22.06,21.75,-20.06,-7.63,-8.19,-0.01847880704227993,0.4634160269809874,0.16819555337695746,-119.99417813762395,-17.821993257993135,-56.640582553149535,-0.031,-0.866,-0.1549,-0.4744,0
3809097.0,477.87344,1.0,7.68,2.37,-5.34,-30.06,-22.06,21.75,-20.06,-7.63,-8.19,-0.01847880704227993,0.4634160269809874,0.16819555337695746,-119.99417813762395,-17.821993257993135,-56.640582553149535,-0.031,-0.866,-0.1549,-0.4744,0
3809132.0,477.91856,1.0,8.02,2.41,-5.4,-30.06,-22.06,21.75,-2.13,-7.56,3.06,0.14473984748047414,0.37594744789876255,-0.1495648376262828,-120.26974778474063,-17.6712197397126,-56.40640189813039,-0.0332,-0.8672,-0.1536,-0.4726,0
3809132.0,477.91856,1.0,8.02,2.41,-5.4,-30.06,-22.06,21.75,-2.13,-7.56,3.06,0.14473984748047414,0.37594744789876255,-0.1495648376262828,-120.26974778474063,-17.6712197397126,-56.40640189813039,-0.0332,-0.8672,-0.1536,-0.4726,0
3809167.0,477.945202,1.0,7.77,1.78,-5.84,-29.5,-23.56,22.0,7.5,-31.5,11.06,-0.3627501133055474,-0.08062269655676468,-0.0680050489673647,-121.15010938852666,-17.161136490218524,-55.666512497314564,-0.0328,-0.871,-0.1492,-0.4669,0
3809167.0,477.945202,1.0,7.77,1.78,-5.84,-29.5,-23.56,22.0,7.5,-31.5,11.06,-0.3627501133055474,-0.08062269655676468,-0.0680050489673647,-121.15010938852666,-17.161136490218524,-55.666512497314564,-0.0328,-0.871,-0.1492,-0.4669,0
