,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,513822.0,380.96445,1.0,2.11,7.08,6.93,4.5,1.0,-41.88,-4.81,-2.25,-2.06,-0.22041742757062135,-0.02240724245686776,-0.3202603912846289,-45.7970207204561,-4.837200229263812,-44.27121519182589,-0.8395,-0.3891,-0.0422,-0.3768
1,513822.0,380.96445,1.0,2.11,7.08,6.93,4.5,1.0,-41.88,-4.81,-2.25,-2.06,-0.22041742757062135,-0.02240724245686776,-0.3202603912846289,-45.7970207204561,-4.837200229263812,-44.27121519182589,-0.8395,-0.3891,-0.0422,-0.3768
2,513859.0,381.027124,1.0,2.32,6.87,6.81,3.0,1.69,-42.19,4.44,0.94,-4.0,0.03254332482462246,-0.1497961277914479,-0.13980173175379385,-45.84678304356361,-4.928956774809122,-44.19699919021153,-0.8395,-0.3895,-0.043,-0.3762
3,513859.0,381.027124,1.0,2.32,6.87,6.81,3.0,1.69,-42.19,4.44,0.94,-4.0,0.03254332482462246,-0.1497961277914479,-0.13980173175379385,-45.84678304356361,-4.928956774809122,-44.19699919021153,-0.8395,-0.3895,-0.043,-0.3762
4,513894.0,381.030212,1.0,2.1,6.47,6.92,3.0,1.69,-42.19,-1.5,2.81,-7.63,0.18657548119919246,0.20746445491090304,0.10719392814917406,-45.80946044511175,-5.089538374458754,-43.99918511445215,-0.8404,-0.3892,-0.0444,-0.3746
5,513894.0,381.030212,1.0,2.1,6.47,6.92,3.0,1.69,-42.19,-1.5,2.81,-7.63,0.18657548119919246,0.20746445491090304,0.10719392814917406,-45.80946044511175,-5.089538374458754,-43.99918511445215,-0.8404,-0.3892,-0.0444,-0.3746
6,513927.0,381.066808,1.0,2.02,6.51,6.58,4.06,1.69,-42.69,-4.13,2.5,-5.31,-0.010334016991913329,-0.0008643293477725855,0.3326438536526393,-45.64778844933024,-5.181303758795194,-43.900329831481116,-0.8413,-0.3879,-0.0452,-0.3738
7,513927.0,381.066808,1.0,2.02,6.51,6.58,4.06,1.69,-42.69,-4.13,2.5,-5.31,-0.010334016991913329,-0.0008643293477725855,0.3326438536526393,-45.64778844933024,-5.181303758795194,-43.900329831481116,-0.8413,-0.3879,-0.0452,-0.3738
8,513961.0,381.13910400000003,1.0,2.04,6.71,6.73,3.25,1.0,-41.38,-6.75,2.44,-4.44,-0.06037379886123673,-0.044815194597734635,0.08693052859835683,-45.43651590599992,-5.238658808769412,-43.8262109221212,-0.8423,-0.3862,-0.0457,-0.3732
9,513961.0,381.13910400000003,1.0,2.04,6.71,6.73,3.25,1.0,-41.38,-6.75,2.44,-4.44,-0.06037379886123673,-0.044815194597734635,0.08693052859835683,-45.43651590599992,-5.238658808769412,-43.8262109221212,-0.8423,-0.3862,-0.0457,-0.3732
10,513996.0,381.146911,1.0,2.23,6.99,6.6,4.5,1.69,-41.75,-7.5,1.44,-4.5,-0.14410039154322513,-0.41912046520982,-0.052182238799860066,-45.16334612512468,-5.273072468222583,-43.73976322550855,-0.8436,-0.384,-0.046,-0.3725
11,513996.0,381.146911,1.0,2.23,6.99,6.6,4.5,1.69,-41.75,-7.5,1.44,-4.5,-0.14410039154322513,-0.41912046520982,-0.052182238799860066,-45.16334612512468,-5.273072468222583,-43.73976322550855,-0.8436,-0.384,-0.046,-0.3725
12,514029.0,381.183994,1.0,1.99,7.01,6.7,4.5,1.69,-41.75,-3.94,0.06,-5.31,-0.294366694930944,-0.24046509871781074,-0.08504979251362421,-44.989651826175965,-5.273072468222583,-43.60396968900631,-0.8447,-0.3826,-0.046,-0.3714
13,514029.0,381.183994,1.0,1.99,7.01,6.7,4.5,1.69,-41.75,-3.94,0.06,-5.31,-0.294366694930944,-0.24046509871781074,-0.08504979251362421,-44.989651826175965,-5.273072468222583,-43.60396968900631,-0.8447,-0.3826,-0.046,-0.3714
14,514066.0,381.236405,1.0,2.04,6.75,6.83,4.06,2.06,-41.88,-3.81,0.25,-3.25,-0.04390883882393815,-0.10002391538627853,-0.00971731333052439,-44.927644585005865,-5.341901218009245,-43.480576858025245,-0.8453,-0.3821,-0.0466,-0.3704
15,514066.0,381.236405,1.0,2.04,6.75,6.83,4.06,2.06,-41.88,-3.81,0.25,-3.25,-0.04390883882393815,-0.10002391538627853,-0.00971731333052439,-44.927644585005865,-5.341901218009245,-43.480576858025245,-0.8453,-0.3821,-0.0466,-0.3704
16,514101.0,381.288576,1.0,1.81,6.7,7.06,4.06,2.75,-42.19,-1.06,0.88,-1.88,-0.09665869728322883,0.19941233297689687,-0.09085432269146487,-44.85325420187507,-5.3533728631413355,-43.41890031609472,-0.8458,-0.3815,-0.0467,-0.3699
17,514101.0,381.288576,1.0,1.81,6.7,7.06,4.06,2.75,-42.19,-1.06,0.88,-1.88,-0.09665869728322883,0.19941233297689687,-0.09085432269146487,-44.85325420187507,-5.3533728631413355,-43.41890031609472,-0.8458,-0.3815,-0.0467,-0.3699
18,514134.0,381.295102,1.0,1.88,6.46,6.89,4.06,2.75,-42.19,0.5,2.69,0.56,0.04202896874017231,0.14570975285305554,0.17778183007939494,-44.82846183777319,-5.4336758888612415,-43.45590465390315,-0.8458,-0.3813,-0.0474,-0.3702
19,514134.0,381.295102,1.0,1.88,6.46,6.89,4.06,2.75,-42.19,0.5,2.69,0.56,0.04202896874017231,0.14570975285305554,0.17778183007939494,-44.82846183777319,-5.4336758888612415,-43.45590465390315,-0.8458,-0.3813,-0.0474,-0.3702
